"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10742";"Letiteenus.rahulolu";NA;"Letiteenus";"rahulolu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/vastuvott-maakondades";"Letiteenus.halduskulu";51198;"Letiteenus";"halduskulu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10744";"Letiteenus.halduskulu";0;"Letiteenus";"halduskulu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10644";"Letiteenus.halduskulu";NA;"Letiteenus";"halduskulu"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10742";"Letiteenus.halduskulu";NA;"Letiteenus";"halduskulu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"http://www.tarbijakaitseamet.ee/et/ametist/vastuvott-maakondades";"Letiteenus.ajakulu";1.4;"Letiteenus";"ajakulu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10744";"Letiteenus.ajakulu";2;"Letiteenus";"ajakulu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10644";"Letiteenus.ajakulu";1.2;"Letiteenus";"ajakulu"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10742";"Letiteenus.ajakulu";2;"Letiteenus";"ajakulu"
"TJA-035";"Ohutus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"TJA-040";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"TJA-056";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"TJA-069";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/raudteevorgustiku-teadaanded/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"VTA-048";"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://195.80.112.238:8080/HIS/Avalik?REQUEST=Main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"VTA-049";"Merendus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/teadaanded-meremeestele/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"RIA-009";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://svn.eesti.ee/projektid/dvk/client/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"RIA-012";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://installer.id.ee/?lang=est";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"RIA-013";"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://stash.ria.ee/projects/BAAS";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"RIA-019";"Riigi infosüsteemide kasutamine";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee/riha/main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"KA-010";"Energeetika";"Küsimustik";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=10731";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"KA-011";"Energeetika";"Teabenõue/Märgukiri/Vaie";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=14157";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"LA-001";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=594";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"LA-003";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/teabenoue";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"LA-004";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=168017";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"LA-005";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=53286";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"MKM-007";"Riigi infosüsteemide kasutamine";"Toetus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.ria.ee/avalike-teenuste-arendamine-sf/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"MKM-044";"Avalike teenuste arendamine";"Aruandlus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"www.riigiteenused.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
